DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2023-12-28,2023-12-28,CE,45000.0,3455.35,3655.65,3373.65,3506.05,3505.0,48508.55,88350,15,4286530464.0,135480.0,-44145.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-27,2023-12-28,CE,45000.0,2916.6,3430.0,2897.65,3354.95,3365.0,3354.95,49485,15,2382163908.0,179625.0,-18525.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-26,2023-12-28,CE,45000.0,2590.05,2966.35,2475.0,2846.85,2891.35,2846.85,59655,15,2841296019.0,198150.0,-8640.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-22,2023-12-28,CE,45000.0,2953.8,3266.75,2482.15,2567.6,2487.15,2567.6,58305,15,2792380005.75,206790.0,-1410.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-21,2023-12-28,CE,45000.0,2275.75,3217.5,1992.3,3101.6,3097.25,3101.6,77505,15,3672273331.5,208200.0,-22305.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-20,2023-12-28,CE,45000.0,3197.85,3251.0,2348.6,2517.0,2348.6,2517.0,120885,15,5779677909.75,230505.0,-17340.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-19,2023-12-28,CE,45000.0,2875.0,3210.0,2800.0,2994.0,2986.3,2994.0,33450,15,1605595581.0,247845.0,240.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-18,2023-12-28,CE,45000.0,3067.75,3172.6,2900.0,2979.7,2905.0,2979.7,53085,15,2549430835.5,247605.0,-7140.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-15,2023-12-28,CE,45000.0,3050.05,3350.0,2800.0,3246.05,3235.0,3246.05,24105,15,1158319239.0,254745.0,-6345.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-14,2023-12-28,CE,45000.0,2719.55,3215.1,2719.55,3010.25,3074.0,3010.25,39525,15,1897678881.75,261090.0,-10110.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-13,2023-12-28,CE,45000.0,2259.95,2450.0,2169.45,2406.95,2397.35,2406.95,103920,15,4914227037.0,271200.0,-6030.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-12,2023-12-28,CE,45000.0,2590.3,2630.7,2279.9,2332.25,2297.1,2332.25,56445,15,2677030312.5,277230.0,8100.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-11,2023-12-28,CE,45000.0,2600.05,2790.0,2406.45,2534.85,2483.25,2534.85,101895,15,4850758380.75,269130.0,3120.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-08,2023-12-28,CE,45000.0,2100.0,2621.15,2033.25,2525.6,2621.15,2525.6,45315,15,2144351036.25,266010.0,-6480.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-07,2023-12-28,CE,45000.0,1898.95,2173.75,1720.25,2110.55,2148.1,2110.55,51900,15,2437753482.0,272490.0,-7710.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-06,2023-12-28,CE,45000.0,2382.55,2439.2,1955.0,2005.15,1971.5,2005.15,135450,15,6374399045.25,280200.0,-23565.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-05,2023-12-28,CE,45000.0,1955.05,2581.85,1870.05,2232.25,2234.4,2232.25,121440,15,5731196979.75,303765.0,-21450.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-04,2023-12-28,CE,45000.0,947.6,1873.05,793.4,1804.3,1845.0,1804.3,881025,15,40767064015.5,325215.0,-130905.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-01,2023-12-28,CE,45000.0,518.45,755.1,494.1,625.55,615.0,625.55,1363125,15,62224771347.0,456120.0,-6330.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-11-30,2023-12-28,CE,45000.0,605.7,632.0,412.15,475.85,492.3,475.85,926835,15,42146628847.5,462450.0,94215.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-11-29,2023-12-28,CE,45000.0,300.05,603.0,280.95,556.35,594.35,556.35,1115145,15,50659412488.5,368235.0,2400.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-11-28,2023-12-28,CE,45000.0,234.65,288.0,229.3,271.35,277.0,271.35,334560,15,15140254642.5,365835.0,43740.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-28,2023-12-28,PE,45000.0,2.35,2.65,0.05,0.05,0.05,48508.55,14080635,15,633651455812.5,1190700.0,-1066800.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-27,2023-12-28,PE,45000.0,3.0,5.35,2.2,4.35,4.1,4.35,27378360,15,1232129278987.5,2257500.0,-693015.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
2023-12-26,2023-12-28,PE,45000.0,5.1,5.9,3.1,4.6,4.5,4.6,14351100,15,645865606167.0,2950515.0,82245.0,BANKNIFTY,OPTIDX,2023,12,BANKNIFTY
