DATE,EXPIRY,OPTION TYPE,STRIKE PRICE,OPEN,HIGH,LOW,CLOSE,LTP,SETTLE PRICE,TOTAL TRADED QUANTITY,MARKET LOT,PREMIUM VALUE,OPEN INTEREST,CHANGE IN OI,SYMBOL,INSTRUMENT_TYPE,YEAR,MONTH,SYMBOL_NAME
2021-02-04,2021-02-25,CE,32000.0,2800.0,3572.85,2541.05,3464.95,3471.15,3464.95,23250,25,814083071.25,132600.0,-4900.0,BANKNIFTY,OPTIDX,2021,2,BANKNIFTY
2021-02-01,2021-02-25,CE,32000.0,544.15,1881.5,504.0,1699.95,1829.7,1699.95,1703075,25,56042131508.75,180350.0,-44150.0,BANKNIFTY,OPTIDX,2021,2,BANKNIFTY
2021-02-04,2021-02-25,PE,32000.0,213.55,224.3,124.0,135.85,134.5,135.85,276550,25,8892875433.75,150675.0,-1800.0,BANKNIFTY,OPTIDX,2021,2,BANKNIFTY
2021-02-01,2021-02-25,PE,32000.0,1583.45,1604.95,400.0,439.6,419.05,439.6,1023900,25,33398706157.5,197000.0,134350.0,BANKNIFTY,OPTIDX,2021,2,BANKNIFTY
2021-02-04,2021-02-25,CE,35000.0,751.0,1159.5,576.65,1099.85,1095.0,1099.85,1066925,25,38258727232.5,305975.0,41300.0,BANKNIFTY,OPTIDX,2021,2,BANKNIFTY
2021-02-01,2021-02-25,CE,35000.0,74.95,370.0,59.2,303.8,370.0,303.8,776625,25,27322788693.75,137300.0,53250.0,BANKNIFTY,OPTIDX,2021,2,BANKNIFTY
2021-02-04,2021-02-25,PE,35000.0,1138.9,1230.5,680.0,741.0,750.0,741.0,770050,25,27601523452.5,268050.0,176825.0,BANKNIFTY,OPTIDX,2021,2,BANKNIFTY
2021-02-01,2021-02-25,PE,35000.0,4050.0,4050.0,1863.8,1980.6,1933.95,1980.6,16975,25,634702403.75,24750.0,9625.0,BANKNIFTY,OPTIDX,2021,2,BANKNIFTY
2021-03-04,2021-03-25,CE,32000.0,3850.05,4411.2,3700.0,4010.5,4000.0,4010.5,2200,25,79342737.5,20700.0,-75.0,BANKNIFTY,OPTIDX,2021,3,BANKNIFTY
2021-03-02,2021-03-25,CE,32000.0,3647.55,3846.85,3344.7,3529.6,3629.6,3529.6,1625,25,57787198.75,20925.0,0.0,BANKNIFTY,OPTIDX,2021,3,BANKNIFTY
2021-03-04,2021-03-25,PE,32000.0,162.95,185.05,105.0,149.35,158.45,149.35,220075,25,7073004133.75,94000.0,7875.0,BANKNIFTY,OPTIDX,2021,3,BANKNIFTY
2021-03-02,2021-03-25,PE,32000.0,224.95,276.4,175.0,192.15,175.0,192.15,129800,25,4182035043.75,83000.0,-625.0,BANKNIFTY,OPTIDX,2021,3,BANKNIFTY
2021-03-04,2021-03-25,CE,35000.0,1617.6,1939.0,1377.1,1591.65,1625.5,1591.65,151925,25,5556525988.75,110275.0,-4275.0,BANKNIFTY,OPTIDX,2021,3,BANKNIFTY
2021-03-02,2021-03-25,CE,35000.0,1325.05,1555.95,1140.0,1343.7,1365.0,1343.7,236250,25,8572980403.75,171675.0,19125.0,BANKNIFTY,OPTIDX,2021,3,BANKNIFTY
2021-03-04,2021-03-25,PE,35000.0,798.9,855.3,533.95,713.55,730.0,713.55,591575,25,21117371973.75,210325.0,-7900.0,BANKNIFTY,OPTIDX,2021,3,BANKNIFTY
2021-03-02,2021-03-25,PE,35000.0,999.65,1149.95,810.1,897.8,856.0,897.8,492575,25,17722325731.25,234050.0,5900.0,BANKNIFTY,OPTIDX,2021,3,BANKNIFTY
2021-03-04,2021-03-25,CE,38000.0,344.55,437.1,263.25,328.6,333.0,328.6,609600,25,23371638777.5,223750.0,49325.0,BANKNIFTY,OPTIDX,2021,3,BANKNIFTY
2021-03-02,2021-03-25,CE,38000.0,315.25,346.05,224.35,258.55,250.1,258.55,297300,25,11377039978.75,216250.0,725.0,BANKNIFTY,OPTIDX,2021,3,BANKNIFTY
2021-03-04,2021-03-25,PE,38000.0,2582.7,2700.0,2055.0,2449.85,2486.6,2449.85,10400,25,419129336.25,16425.0,-3425.0,BANKNIFTY,OPTIDX,2021,3,BANKNIFTY
2021-03-02,2021-03-25,PE,38000.0,2922.7,3233.3,2600.0,2831.3,2761.8,2831.3,3700,25,151252165.0,16300.0,500.0,BANKNIFTY,OPTIDX,2021,3,BANKNIFTY
2021-04-07,2021-04-29,CE,32000.0,1400.0,1849.35,1278.9,1681.45,1643.65,1681.45,38250,25,1286053572.5,50725.0,-1000.0,BANKNIFTY,OPTIDX,2021,4,BANKNIFTY
2021-03-30,2021-04-29,CE,32000.0,2316.95,2590.05,2245.0,2456.3,2514.0,2456.3,8200,25,282299045.0,20325.0,75.0,BANKNIFTY,OPTIDX,2021,4,BANKNIFTY
2021-04-07,2021-04-29,PE,32000.0,738.0,949.85,495.0,542.25,540.0,542.25,447925,25,14616969020.0,268800.0,16175.0,BANKNIFTY,OPTIDX,2021,4,BANKNIFTY
2021-03-30,2021-04-29,PE,32000.0,469.9,523.0,406.95,427.65,406.95,427.65,231350,25,7507045878.75,141875.0,5525.0,BANKNIFTY,OPTIDX,2021,4,BANKNIFTY
2021-04-07,2021-04-29,CE,35000.0,249.2,352.75,191.5,292.55,280.0,292.55,550400,25,19428998532.5,274800.0,24050.0,BANKNIFTY,OPTIDX,2021,4,BANKNIFTY
2021-03-30,2021-04-29,CE,35000.0,673.9,755.85,589.4,693.85,700.45,693.85,291225,25,10392913670.0,191050.0,-8900.0,BANKNIFTY,OPTIDX,2021,4,BANKNIFTY
2021-04-07,2021-04-29,PE,35000.0,2843.65,2843.65,1980.0,2118.8,2136.8,2118.8,14025,25,522972783.75,118225.0,1350.0,BANKNIFTY,OPTIDX,2021,4,BANKNIFTY
2021-03-30,2021-04-29,PE,35000.0,1750.0,1860.1,1533.6,1634.7,1610.0,1634.7,21475,25,787396937.5,124100.0,7000.0,BANKNIFTY,OPTIDX,2021,4,BANKNIFTY
2021-04-07,2021-04-29,CE,38000.0,26.85,30.55,18.9,23.05,21.0,23.05,113525,25,4316735313.75,163000.0,1475.0,BANKNIFTY,OPTIDX,2021,4,BANKNIFTY
2021-03-30,2021-04-29,CE,38000.0,99.0,110.85,79.1,93.25,94.2,93.25,144300,25,5497264767.5,118425.0,23850.0,BANKNIFTY,OPTIDX,2021,4,BANKNIFTY
2021-04-07,2021-04-29,PE,38000.0,5650.6,5650.6,4670.1,4808.0,4800.0,4808.0,600,25,25753340.0,23775.0,-150.0,BANKNIFTY,OPTIDX,2021,4,BANKNIFTY
2021-03-30,2021-04-29,PE,38000.0,4175.75,4300.0,3895.7,4154.95,4154.95,4375.9,1575,25,66345912.5,23375.0,175.0,BANKNIFTY,OPTIDX,2021,4,BANKNIFTY
2021-05-27,2021-05-27,CE,32000.0,2722.8,3118.95,2550.1,3058.7,3099.45,35095.05,25325,25,879671748.75,21400.0,-5525.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-21,2021-05-27,CE,32000.0,1800.0,2859.2,1795.95,2758.75,2859.2,2758.75,52100,25,1786283865.0,32525.0,-18225.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-20,2021-05-27,CE,32000.0,1925.0,1973.2,1496.45,1553.0,1587.6,1553.0,41925,25,1413982712.5,50750.0,13875.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-04-30,2021-05-27,CE,32000.0,2023.45,2200.0,1688.05,1736.4,1716.3,1736.4,21250,25,719776178.75,56825.0,2125.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-27,2021-05-27,PE,32000.0,3.05,3.1,0.05,0.2,0.05,35095.05,4112875,25,131617746276.25,612175.0,-32950.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-21,2021-05-27,PE,32000.0,77.4,77.4,20.15,22.8,20.15,22.8,6456225,25,206813839175.0,836525.0,251450.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-20,2021-05-27,PE,32000.0,94.6,121.2,72.0,106.6,102.7,106.6,1636000,25,52503879592.5,585075.0,145525.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-04-30,2021-05-27,PE,32000.0,731.3,889.45,624.1,852.05,887.0,852.05,429700,25,14076149611.25,206375.0,60300.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-27,2021-05-27,CE,35000.0,81.0,120.0,5.65,52.65,95.6,35095.05,162604975,25,5699449981148.75,1028475.0,-951925.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-21,2021-05-27,CE,35000.0,90.0,393.2,66.0,356.1,390.7,356.1,21234100,25,747570276871.25,1168525.0,586875.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-20,2021-05-27,CE,35000.0,120.05,131.5,55.5,61.1,56.95,61.1,2856525,25,100219522603.75,581650.0,136725.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-04-30,2021-05-27,CE,35000.0,598.35,598.35,389.4,406.7,397.1,406.7,392800,25,13939348418.75,180825.0,17825.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-27,2021-05-27,PE,35000.0,470.1,493.0,0.05,10.2,0.05,35095.05,60320200,25,2118144580950.0,1359275.0,894700.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-21,2021-05-27,PE,35000.0,1359.8,1359.8,540.0,599.0,546.95,599.0,727850,25,26011017445.0,268850.0,91425.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-20,2021-05-27,PE,35000.0,1275.95,1658.35,1230.0,1589.95,1571.15,1589.95,69300,25,2523464968.75,177425.0,20950.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-04-30,2021-05-27,PE,35000.0,2299.95,2560.0,1986.05,2519.75,2560.0,2519.75,10950,25,407938427.5,26875.0,250.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-27,2021-05-27,CE,38000.0,2.4,2.45,0.05,0.2,0.1,35095.05,1495100,25,56815398481.25,569225.0,-160475.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-21,2021-05-27,CE,38000.0,6.95,10.1,4.4,8.6,8.65,8.6,1609050,25,61154999177.5,452050.0,272575.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-20,2021-05-27,CE,38000.0,8.0,10.0,5.55,7.1,5.8,7.1,299875,25,11397590126.25,179475.0,37800.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-04-30,2021-05-27,CE,38000.0,82.85,82.9,44.0,49.2,48.75,49.2,130950,25,4984054953.75,116200.0,23200.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-27,2021-05-27,PE,38000.0,3350.0,3435.0,2904.5,2918.0,2909.35,35095.05,1775,25,73115162.5,4300.0,-25.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-21,2021-05-27,PE,38000.0,4225.15,4225.15,3200.25,3234.3,3200.25,3234.3,1600,25,66591428.75,5100.0,600.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-05-20,2021-05-27,PE,38000.0,4234.45,4444.45,4150.0,4444.45,4444.45,4644.9,1350,25,57006640.0,4500.0,-1000.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-04-30,2021-05-27,PE,38000.0,4838.75,5175.0,4598.6,5175.0,5175.0,5175.0,3075,25,132010083.75,19050.0,575.0,BANKNIFTY,OPTIDX,2021,5,BANKNIFTY
2021-06-24,2021-06-24,CE,32000.0,2639.15,2952.2,2635.1,2833.3,2830.0,34827.0,7050,25,245420518.75,9300.0,-650.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-06-04,2021-06-24,CE,32000.0,3800.0,3945.0,3427.35,3525.75,3525.75,3525.75,1875,25,67017308.75,17100.0,-150.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-05-27,2021-06-24,CE,32000.0,3132.3,3580.0,2995.0,3476.2,3555.5,3476.2,6800,25,239556847.5,17750.0,1425.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-06-24,2021-06-24,PE,32000.0,1.5,2.75,0.05,0.1,0.05,34827.0,5079800,25,162560860673.75,671475.0,50075.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-06-04,2021-06-24,PE,32000.0,52.95,66.75,46.65,53.35,50.75,53.35,189550,25,6075727183.75,150125.0,2900.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-05-27,2021-06-24,PE,32000.0,291.0,291.0,209.2,219.8,211.0,219.8,211750,25,6828116242.5,142175.0,28350.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-06-24,2021-06-24,CE,35000.0,50.0,70.0,0.05,1.8,0.05,34827.0,119054775,25,4170550407771.25,1541975.0,-1165350.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-06-04,2021-06-24,CE,35000.0,1238.9,1385.0,977.45,1051.25,1052.0,1051.25,264675,25,9555452595.0,299950.0,-7875.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-05-27,2021-06-24,CE,35000.0,1045.5,1335.8,960.0,1272.75,1319.0,1272.75,358550,25,12958710891.25,244425.0,19750.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-06-24,2021-06-24,PE,35000.0,440.0,466.95,85.0,178.25,172.6,34827.0,33844875,25,1191505316838.75,242850.0,-1109350.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-06-04,2021-06-24,PE,35000.0,476.75,622.5,432.0,548.95,535.0,548.95,773700,25,27490840228.75,235625.0,18125.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-05-27,2021-06-24,PE,35000.0,1176.65,1243.35,927.35,964.35,940.0,964.35,228050,25,8222843830.0,221125.0,47275.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-06-24,2021-06-24,CE,38000.0,3.6,3.6,0.05,0.1,0.05,34827.0,4101525,25,155861233666.25,428625.0,-413275.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-06-04,2021-06-24,CE,38000.0,149.0,169.3,94.05,99.3,101.65,99.3,374050,25,14260020065.0,265525.0,-17200.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-05-27,2021-06-24,CE,38000.0,162.0,251.5,136.95,229.25,245.45,229.25,203050,25,7754714478.75,203725.0,23850.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-06-24,2021-06-24,PE,38000.0,3330.3,3337.85,3051.2,3176.0,3180.3,34827.0,7750,25,319311180.0,3800.0,-3300.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-06-04,2021-06-24,PE,38000.0,2400.0,2717.35,2200.0,2585.1,2555.75,2585.1,3525,25,142435435.0,12100.0,250.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-05-27,2021-06-24,PE,38000.0,3369.75,3417.5,2805.0,2848.7,2820.0,2848.7,6750,25,278718582.5,10175.0,3000.0,BANKNIFTY,OPTIDX,2021,6,BANKNIFTY
2021-08-02,2021-08-26,CE,32000.0,2950.0,3001.0,2750.55,2871.1,2879.0,2871.1,2000,25,69867406.25,18225.0,-300.0,BANKNIFTY,OPTIDX,2021,8,BANKNIFTY
2021-08-02,2021-08-26,PE,32000.0,82.5,85.0,53.0,55.45,55.45,55.45,233675,25,7491961965.0,324575.0,26500.0,BANKNIFTY,OPTIDX,2021,8,BANKNIFTY
2021-08-02,2021-08-26,CE,35000.0,548.9,614.65,482.0,533.6,540.0,533.6,525650,25,18694371007.5,409400.0,20625.0,BANKNIFTY,OPTIDX,2021,8,BANKNIFTY
